,Exp Count,Kill
245,0.301723358,4.525850364
246,0.209912047,4.556840684
247,0.268155601,4.567025073
248,0.327126703,4.731369137
249,0.277777263,4.509250909
250,0.197560638,4.551211742
251,0.314916257,4.657445698
252,0.32608607,4.483683468
253,0.306450624,4.637081816
254,0.263297102,4.755305237
255,0.155487426,4.490842705
256,0.218749316,4.79686001
257,0.240740295,4.481473182
258,0.236841482,4.649987763
259,0.208762295,4.801532779
260,0.226414484,4.609151997
261,0.189872937,4.777203096
262,0.200580812,4.290685201
263,0.192072702,4.179867854
264,0.1671823,3.891632433
265,0.111454867,3.965935678
266,0.198112834,3.933954842
267,0.135047928,3.839219654
268,0.13235263,4.005872927
269,0.101538212,3.830759801
270,0.152238488,4.191036019
271,0.154638936,3.999993814
272,0.16139215,3.825943313
273,0.101351184,3.557426543
274,0.127906873,3.604648229
275,0.106761425,3.747326027
276,0.108552453,3.680914998
277,0.114186677,3.871966423
278,0.16326504,3.989789404
279,0.158415528,3.920784315
280,0.147238948,3.819010205
281,0.087378471,3.951448638
282,0.109090774,3.698177246
283,0.092024342,3.855819941
284,0.065015339,3.928784055
285,0.15483846,4.025799958
286,0.108695522,3.826082382
287,0.183999411,4.207986534
288,0.174657253,3.76026792
289,0.058631826,3.723120972
290,0.116343136,3.922425721
291,0.131386708,3.755470067
292,0.085987069,3.429928659
293,0.133105593,3.204773126
294,0.203703326,3.888881687
295,0.151334952,3.685451192
296,0.07291656,3.520828199
297,0.119363079,3.835533593
298,0.182691956,3.759608155
299,0.105769027,3.961530843
300,0.081355794,3.569485475
301,0.17999964,3.38999322
302,0.203007061,4.112772678
303,0.184048685,3.708580994
304,0.164633745,3.585357109
305,0.116882851,3.506485537
306,0.166051464,3.83025378
307,0.127868559,3.845892813
308,0.123809288,3.523802812
309,0.128571245,3.635709092
310,0.183452993,3.917260973
311,0.243749467,3.965616325
312,0.162790565,3.848834077
313,0.160534838,3.872902964
314,0.047430798,3.237151975
315,0.1999996,3.97999204
316,0.102166961,3.696586416
317,0.121771074,3.730622901
