Unnamed: 0,Exp Count,Kill,Cluster,Label
204,0.305986561,4.523279591,0,Unknown
205,0.288840326,4.56892879,0,Unknown
206,0.19411719,4.261754678,0,Unknown
207,0.23603995,4.850240266,0,Unknown
208,0.302469323,4.629632487,0,Unknown
209,0.277250725,4.84833319,0,Unknown
210,0.293477463,4.679335111,0,Unknown
211,0.290575079,4.735588458,0,Unknown
212,0.303570615,4.410702471,0,Unknown
213,0.23333275,4.508322063,0,Unknown
214,0.154638737,4.469059495,0,Unknown
215,0.275509501,4.829069314,0,Unknown
216,0.296953486,4.644657083,0,Unknown
217,0.289603459,4.611378149,0,Unknown
218,0.349592359,4.544700668,0,Unknown
219,0.240000051,4.743158893,0,Unknown
220,0.215516684,4.491367695,0,Unknown
221,0.290992736,4.579671386,0,Unknown
222,0.203703326,4.444436214,0,Unknown
225,0.263735467,4.598887201,0,Unknown
226,0.265822364,4.405056321,0,Unknown
227,0.289061597,4.72654773,0,Unknown
228,0.258620021,4.568953701,0,Unknown
229,0.301723358,4.465505693,0,Unknown
230,0.269021008,4.785313083,0,Unknown
231,0.267408726,4.621157044,0,Unknown
232,0.259052203,4.688009226,0,Unknown
233,0.243037359,4.769608178,0,Unknown
234,0.230768663,4.273835634,0,Unknown
235,0.304761324,4.466658159,0,Unknown
236,0.337695363,4.680614794,0,Unknown
237,0.220587716,4.438224851,0,Unknown
238,0.277909409,4.945362298,0,Unknown
239,0.221590405,4.576694144,0,Unknown
240,0.218749316,4.773422583,0,Unknown
241,0.308570547,4.499987143,0,Unknown
243,0.253297418,4.733495496,0,Unknown
244,0.235464432,4.595916872,0,Unknown
245,0.301723358,4.525850364,0,Unknown
246,0.209912047,4.556840684,0,Unknown
247,0.268155601,4.567025073,0,Unknown
248,0.327126703,4.731369137,0,Unknown
249,0.277777263,4.509250909,0,Unknown
250,0.197560638,4.551211742,0,Unknown
251,0.314916257,4.657445698,0,Unknown
252,0.32608607,4.483683468,0,Unknown
253,0.306450624,4.637081816,0,Unknown
254,0.263297102,4.755305237,0,Unknown
